iter	Logloss
0	0.5508946119
1	0.4473727243
2	0.3763907056
3	0.3178487
4	0.2777337792
5	0.2459149002
6	0.2224813781
7	0.2040370377
8	0.1877769361
9	0.1758356956
10	0.1681152702
11	0.1604997245
12	0.1537143308
13	0.1489590381
14	0.1451209571
15	0.1401545836
16	0.1365213701
17	0.1328164622
18	0.1300823045
19	0.1278564677
20	0.1260514465
21	0.1222980016
22	0.1203101056
23	0.1182641534
24	0.1154447122
25	0.1138218042
26	0.1123025664
27	0.1110013775
28	0.1087080436
29	0.1072190703
30	0.105891662
31	0.1046106159
32	0.103899376
33	0.1028206507
34	0.1013649208
35	0.1000633467
36	0.09893384685
37	0.09730328985
38	0.096134078
39	0.09539307537
40	0.09405203331
41	0.09332568135
42	0.09204371461
43	0.09116695411
44	0.08999636253
45	0.08887108927
46	0.08829180628
47	0.08692344736
48	0.08559329532
49	0.08476631487
50	0.08399686873
51	0.08315103793
52	0.08244572351
53	0.08212534045
54	0.08131016835
55	0.08050190609
56	0.07962420262
57	0.07848175441
58	0.07779578645
59	0.07671906581
60	0.07600285353
61	0.07487322158
62	0.07435268801
63	0.07366071061
64	0.07266493491
65	0.07163550925
66	0.07092330961
67	0.07026174787
68	0.06984710413
69	0.06920542418
70	0.06876933863
71	0.06811614374
72	0.06775117703
73	0.06708389926
74	0.06649761011
75	0.0659843358
76	0.0652414674
77	0.06490544366
78	0.06410631092
79	0.06369221931
80	0.06306219426
81	0.06261545388
82	0.06194426986
83	0.06106735481
84	0.06038666947
85	0.05989845878
86	0.05945548801
87	0.0592141606
88	0.05863975931
89	0.05816731024
90	0.05796603534
91	0.05723125493
92	0.05667784861
93	0.05627791714
94	0.05588016391
95	0.05549263098
96	0.05510532316
97	0.05460818117
98	0.05439127903
99	0.05399761347
100	0.05317698515
101	0.05276670907
102	0.05227485979
103	0.05171871192
104	0.05144167055
105	0.05093959647
106	0.0507064489
107	0.05032617299
108	0.0500306878
109	0.04982076718
110	0.04952467164
111	0.0490503456
112	0.04866351038
113	0.04820358864
114	0.04752720824
115	0.04722120373
116	0.04700472714
117	0.04666847495
118	0.04633949098
119	0.04603266557
120	0.04576582882
121	0.04559978856
122	0.04530072301
123	0.04496813405
124	0.04472593759
125	0.04439627607
126	0.0439126055
127	0.04359050002
128	0.04335714862
129	0.04289585722
130	0.04240748078
131	0.04236967258
132	0.04236082752
133	0.04184873696
134	0.04180284525
135	0.04137749068
136	0.04118999964
137	0.04118795244
138	0.04118482565
139	0.04096221812
140	0.04096054889
141	0.04072282648
142	0.04072275256
143	0.04072273632
144	0.04053307658
145	0.0405330049
146	0.04053111113
147	0.04053113633
148	0.04052881699
149	0.04049688665
150	0.04036729781
151	0.04036096583
152	0.0400370545
153	0.03978119064
154	0.03929986348
155	0.03889405025
156	0.0384830871
157	0.03825689305
158	0.0380771238
159	0.03765831624
160	0.0375196998
161	0.03741936304
162	0.03711930189
163	0.03694196117
164	0.03694195165
165	0.03694195277
166	0.03694190013
167	0.03694187605
168	0.03694190125
169	0.03694185477
170	0.03694179486
171	0.03694181446
172	0.03694179206
173	0.03694180718
174	0.03694176798
175	0.03694171759
176	0.03694172766
177	0.0369417215
178	0.03694172095
179	0.03694164703
180	0.03694162015
181	0.03694159775
182	0.03694161063
183	0.03694150928
184	0.0369415804
185	0.0369412937
186	0.0369412881
187	0.03694127802
188	0.03694129034
189	0.03694128418
190	0.03694100532
191	0.03694092861
192	0.03694079142
193	0.03694082334
194	0.03694080598
195	0.03694074662
196	0.03694068727
197	0.03694068447
198	0.03694070183
199	0.03694065871
200	0.03694064527
201	0.03694011107
202	0.03694011107
203	0.03694011107
204	0.03694011107
205	0.03694011107
206	0.03694011107
207	0.03694011107
208	0.03694011107
209	0.03694011107
210	0.03694011107
211	0.03694011107
212	0.03694011107
213	0.03694011107
214	0.03694011107
215	0.03694011107
216	0.03694011107
217	0.03694011107
218	0.03694011107
219	0.03694011107
220	0.03694011107
221	0.03694011107
222	0.03694011107
223	0.03694011107
224	0.03694011107
225	0.03694011107
226	0.03694011107
227	0.03694011107
228	0.03694011107
229	0.03694011107
230	0.03694011107
231	0.03694011107
232	0.03694011107
233	0.03694011107
234	0.03694011107
235	0.03694011107
236	0.03694011107
237	0.03694011107
238	0.03694011107
239	0.03694011107
240	0.03694011107
241	0.03694011107
242	0.03694011107
243	0.03694011107
244	0.03694011107
245	0.03694011107
246	0.03694011107
247	0.03694011107
248	0.03694011107
249	0.03694011107
250	0.03694011107
251	0.03694011107
252	0.03694011107
253	0.03694011107
254	0.03694011107
255	0.03694011107
256	0.03694011107
257	0.03694011107
258	0.03694011107
259	0.03694011107
260	0.03694011107
261	0.03694011107
262	0.03694011107
263	0.03694011107
264	0.03694011107
265	0.03694011107
266	0.03694011107
267	0.03694011107
268	0.03694011107
269	0.03694011107
270	0.03694011107
271	0.03694011107
272	0.03694011107
273	0.03694011107
274	0.03694011107
275	0.03694011107
276	0.03694011107
277	0.03694011107
278	0.03694011107
279	0.03694011107
280	0.03694011107
281	0.03694011107
282	0.03694011107
283	0.03694011107
284	0.03694011107
285	0.03694011107
286	0.03694011107
287	0.03694011107
288	0.03694011107
289	0.03694011107
290	0.03694011107
291	0.03694011107
292	0.03694011107
293	0.03694011107
294	0.03694011107
295	0.03694011107
296	0.03694011107
297	0.03694011107
298	0.03694011107
299	0.03694011107
